Items in order,lemmatized_text
1 x Mushroom Pizza,x mushroom pizza
1 x Margherita Pizza,x margherita pizza
"1 x Mushroom Pizza, 1 x Onion Rings",x mushroom pizza x onion ring
"1 x Bageecha Pizza, 1 x Fried Chicken Tenders",x bageecha pizza x fried chicken tender
1 x Margherita Pizza,x margherita pizza
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
1 x Cheesy Garlic Bread,x cheesy garlic bread
1 x Mushroom Pizza,x mushroom pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Murgh Amritsari Seekh Pizza, 1 x Spinach Sumac Pide",x murgh amritsari seekh pizza x spinach sumac pide
1 x Tripple Cheese Pizza,x tripple cheese pizza
2 x Tipsy Tiger Fresh Lime Soda,x tipsy tiger fresh lime soda
1 x Tripple Cheese Pizza,x tripple cheese pizza
"1 x Tripple Cheese Pizza, 1 x Cheesy Garlic Bread",x tripple cheese pizza x cheesy garlic bread
1 x Bageecha Pizza,x bageecha pizza
"1 x Onion Rings, 1 x Jamaican Chicken Melt, 1 x Salted Fries",x onion ring x jamaican chicken melt x salted fry
"1 x Peri Peri Grilled Chicken Pizza, 1 x Murgh Amritsari Garlic Bread",x peri peri grilled chicken pizza x murgh amritsari garlic bread
"1 x Indian Salsa, 1 x Mushroom Mozzarella Melt, 1 x Angara Paneer Melt",x indian salsa x mushroom mozzarella melt x angara paneer melt
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Peri Peri Crisper Fries, 1 x Fried Chicken Tenders",x peri peri crisper fry x fried chicken tender
"1 x Tripple Cheese Pizza, 1 x All About Chicken Pizza",x tripple cheese pizza x chicken pizza
1 x Tripple Cheese Pizza,x tripple cheese pizza
"1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",x bageecha pizza x makhani paneer pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
"1 x Onion Rings, 1 x All About Chicken Pizza",x onion ring x chicken pizza
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Spinach Sumac Pide, 1 x Herbed Potato",x spinach sumac pide x herbed potato
"1 x Spinach Sumac Pide, 1 x Herbed Potato",x spinach sumac pide x herbed potato
"1 x Tripple Cheese Pizza, 1 x Indian Masala Cripser Fries",x tripple cheese pizza x indian masala cripser fry
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Margherita Pizza, 1 x Just Pepperoni Pide",x margherita pizza x pepperoni pide
1 x Tripple Cheese Pizza,x tripple cheese pizza
"1 x Peri Peri Crisper Fries, 1 x Makhani Paneer Pizza, 1 x Peri Peri Paneer Pizza",x peri peri crisper fry x makhani paneer pizza x peri peri paneer pizza
"1 x Onion Rings, 1 x Tipsy Tiger Fresh Lime Soda, 1 x Fried Chicken Tenders, 1 x Mutton Seekh Pide, 1 x Indian Masala Fries",x onion ring x tipsy tiger fresh lime soda x fried chicken tender x mutton seekh pide x indian masala fry
1 x Bageecha Pizza,x bageecha pizza
"1 x Tripple Cheese Pizza, 1 x Cheesy Garlic Bread",x tripple cheese pizza x cheesy garlic bread
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Bageecha Pizza, 1 x Herbed Potato",x cheesy garlic bread x bageecha pizza x herbed potato
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Bageecha Pizza, 1 x Chicken Pepperoni Pizza",x bageecha pizza x chicken pepperoni pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Loaded Pork Pepperoni Pizza, 1 x Fried Chicken Tenders",x loaded pork pepperoni pizza x fried chicken tender
"1 x Masala Potato Pide, 1 x Bageecha Pizza",x masala potato pide x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Peri Peri Grilled Chicken Pizza, 1 x Just Pepperoni Pizza",x peri peri grilled chicken pizza x pepperoni pizza
"1 x Bacon Pepperoni Melt, 1 x Jamaican Chicken Melt",x bacon pepperoni melt x jamaican chicken melt
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Peri Peri Crisper Fries, 1 x Chilli Cheese Garlic Bread",x peri peri crisper fry x chilli cheese garlic bread
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Tripple Cheese Pizza, 1 x Peri Peri Crisper Fries",x tripple cheese pizza x peri peri crisper fry
"1 x Bageecha Pizza, 1 x Onion Rings",x bageecha pizza x onion ring
"1 x Masala Paneer Pide, 1 x Peri Peri Crisper Fries",x masala paneer pide x peri peri crisper fry
1 x Bageecha Pizza,x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza",x chilli cheese garlic bread x chicken pizza
"1 x Cheesy Garlic Bread, 1 x Murgh Amritsari Seekh Melt, 1 x Just Pepperoni Pizza, 1 x Herbed Potato, 1 x Fried Chicken Tenders",x cheesy garlic bread x murgh amritsari seekh melt x pepperoni pizza x herbed potato x fried chicken tender
"1 x Desi Pepperoni Pizza, 1 x Mushroom Pizza",x desi pepperoni pizza x mushroom pizza
"1 x Jamaican Chicken Melt, 1 x Fried Chicken Tenders, 1 x Onion Rings, 1 x Salted Fries, 1 x Mutton Seekh Pide",x jamaican chicken melt x fried chicken tender x onion ring x salted fry x mutton seekh pide
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Cheesy Garlic Bread, 1 x Makhani Paneer Pizza, 1 x Peri Peri Crisper Fries",x cheesy garlic bread x makhani paneer pizza x peri peri crisper fry
"1 x Peri Peri Crisper Fries, 1 x Bageecha Pizza",x peri peri crisper fry x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
"1 x Makhani Paneer Pizza, 1 x Desi Chicken Pepperoni Pizza",x makhani paneer pizza x desi chicken pepperoni pizza
"1 x Peri Peri Paneer Melt, 1 x Tripple Cheese Pizza",x peri peri paneer melt x tripple cheese pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Tripple Cheese Pizza, 1 x Bellpepper Onion Pizza",x tripple cheese pizza x bellpepper onion pizza
"1 x All About Chicken Pizza, 1 x Murgh Amritsari Seekh Pizza",x chicken pizza x murgh amritsari seekh pizza
"2 x Peri Peri Crisper Fries, 1 x Makhani Paneer Pizza, 1 x Cheesy Garlic Bread",x peri peri crisper fry x makhani paneer pizza x cheesy garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Tripple Cheese Pizza",x peri peri paneer pizza x tripple cheese pizza
"1 x All About Chicken Pizza, 1 x Jamaican Chicken Melt, 1 x Bageecha Pizza, 1 x Mushroom Mozzarella Melt",x chicken pizza x jamaican chicken melt x bageecha pizza x mushroom mozzarella melt
"1 x Murgh Amritsari Seekh Pizza, 1 x Makhani Paneer Pizza",x murgh amritsari seekh pizza x makhani paneer pizza
"1 x Tripple Cheese Pizza, 1 x Masala Paneer Pide",x tripple cheese pizza x masala paneer pide
"1 x Masala Paneer Pide, 1 x Masala Potato Pide",x masala paneer pide x masala potato pide
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
"2 x Mushroom Mozzarella Melt, 2 x Bageecha Pizza",x mushroom mozzarella melt x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bellpepper Onion Pizza, 1 x Salted Crisper Fries, 1 x Peri Peri Paneer Pizza",x chilli cheese garlic bread x bellpepper onion pizza x salted crisper fry x peri peri paneer pizza
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Pepperoni Garlic Bread, 1 x Murgh Amritsari Garlic Bread, 1 x Murgh Amritsari Seekh Pizza, 1 x All About Chicken Pizza",x pepperoni garlic bread x murgh amritsari garlic bread x murgh amritsari seekh pizza x chicken pizza
"1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",x bageecha pizza x makhani paneer pizza
"1 x Tripple Cheese Pizza, 1 x Bageecha Pizza",x tripple cheese pizza x bageecha pizza
"1 x Bageecha Pizza, 1 x Tripple Cheese Pizza",x bageecha pizza x tripple cheese pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
2 x Tripple Cheese Pizza,x tripple cheese pizza
2 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
2 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"2 x Herbed Potato, 1 x Masala Potato Pide",x herbed potato x masala potato pide
"1 x Mutton Smashed Double Burger, 1 x Raw Masala Lemon Shikanji",x mutton smashed double burger x raw masala lemon shikanji
"1 x Grilled Chicken Dirty Burger, 1 x Chicken Smashed Burger, 1 x Atomic Veg Burger",x grilled chicken dirty burger x chicken smashed burger x atomic veg burger
"1 x Mutton Smashed Burger, 2 x Chicken Smashed Burger",x mutton smashed burger x chicken smashed burger
"1 x Peri Peri Crisper Fries, 1 x Classic Bacon Melt Tenderloin Burger",x peri peri crisper fry x classic bacon melt tenderloin burger
1 x Chicken 65 Boneless Grilled Chicken Breast,x chicken boneless grilled chicken breast
1 x Chicken 65 Boneless Grilled Chicken Breast,x chicken boneless grilled chicken breast
2 x Chicken 65 Boneless Grilled Chicken Breast,x chicken boneless grilled chicken breast
1 x Peri Peri Grilled Chicken Quarter,x peri peri grilled chicken quarter
1 x Grlld Vegetables,x grlld vegetable
"1 x Chicken 65 Boneless Grilled Chicken Breast, 1 x Peri Peri Boneless Grilled Chicken Breast",x chicken boneless grilled chicken breast x peri peri boneless grilled chicken breast
"1 x Peri Peri Boneless Grilled Chicken Breast, 1 x Peri Peri dip, 1 x Grlld Potatoes, 1 x Iced Green Tea - Mojito",x peri peri boneless grilled chicken breast x peri peri dip x grlld potato x iced green tea mojito
1 x Carribean Jerk Grilled Chicken Quarter,x carribean jerk grilled chicken quarter
"1 x Coleslaw, 1 x Grlld Vegetables",x coleslaw x grlld vegetable
"1 x Smoky BBQ Boneless Grilled Chicken Breast, 1 x Carribean Jerk dip, 1 x Angara Boneless Grilled Chicken Breast",x smoky bbq boneless grilled chicken breast x carribean jerk dip x angara boneless grilled chicken breast
"1 x Peri Peri Boneless Grilled Chicken Breast, 1 x Chicken 65 Boneless Grilled Chicken Breast",x peri peri boneless grilled chicken breast x chicken boneless grilled chicken breast
"1 x Tripple Cheese Pizza, 1 x Loaded Chicken Pepperoni Pizza",x tripple cheese pizza x loaded chicken pepperoni pizza
"1 x Cheesy Garlic Bread, 1 x Peri Peri Paneer Pizza",x cheesy garlic bread x peri peri paneer pizza
"1 x Jamaican Chicken Melt, 1 x Fried Chicken Tenders",x jamaican chicken melt x fried chicken tender
"1 x Masala Paneer Pide, 1 x Mushroom Mozzarella Melt",x masala paneer pide x mushroom mozzarella melt
"1 x Cheesy Garlic Bread, 1 x Margherita Pizza, 1 x All About Chicken Pizza",x cheesy garlic bread x margherita pizza x chicken pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Chicken Pepperoni Pizza,x chicken pepperoni pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x All About Chicken Pizza, 1 x Tripple Cheese Pizza",x chicken pizza x tripple cheese pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Peri Peri Paneer Pizza, 1 x Salted Fries, 1 x Fried Chicken Tenders",x peri peri paneer pizza x salted fry x fried chicken tender
"1 x Tripple Cheese Pizza, 1 x Margherita Pizza",x tripple cheese pizza x margherita pizza
"1 x Makhani Paneer Pizza, 1 x Onion Rings, 1 x Peri Peri Grilled Chicken Pizza, 1 x Herbed Potato, 1 x All About Chicken Pizza",x makhani paneer pizza x onion ring x peri peri grilled chicken pizza x herbed potato x chicken pizza
"1 x Indian Masala Cripser Fries, 1 x Fried Chicken Tenders",x indian masala cripser fry x fried chicken tender
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Salted Fries, 1 x Bageecha Pizza",x salted fry x bageecha pizza
"1 x Herbed Potato, 1 x Garlic Aioli, 1 x Mutton Seekh Pizza",x herbed potato x garlic aioli x mutton seekh pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Mushroom Pizza, 1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x mushroom pizza x bageecha pizza x chilli cheese garlic bread
"1 x Bageecha Pizza, 1 x Margherita Pizza",x bageecha pizza x margherita pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Mutton Seekh Pizza,x mutton seekh pizza
"1 x Murgh Amritsari Seekh Pide, 1 x OG Cheese Pide",x murgh amritsari seekh pide x og cheese pide
"1 x Tripple Cheese Pizza, 1 x Bellpepper Onion Pizza",x tripple cheese pizza x bellpepper onion pizza
"1 x Just Pepperoni Pizza, 1 x All About Chicken Pizza",x pepperoni pizza x chicken pizza
"1 x Chicken Pepperoni Pizza, 1 x All About Chicken Pizza",x chicken pepperoni pizza x chicken pizza
"1 x All About Chicken Pizza, 1 x Bageecha Pizza",x chicken pizza x bageecha pizza
"1 x Jamaican Chicken Melt, 1 x Tripple Cheese Pizza",x jamaican chicken melt x tripple cheese pizza
"1 x Bacon Pepperoni Melt, 1 x Murgh Amritsari Seekh Melt",x bacon pepperoni melt x murgh amritsari seekh melt
"1 x Peri Peri Paneer Pizza, 1 x Murgh Amritsari Seekh Pizza",x peri peri paneer pizza x murgh amritsari seekh pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza, 1 x Peanut Butter Chocolate Pide",x makhani paneer pizza x bageecha pizza x peanut butter chocolate pide
"1 x Jamaican Chicken Melt, 1 x Margherita Pizza",x jamaican chicken melt x margherita pizza
"2 x Raw Masala Lemon Shikanji, 1 x Malai Gud Pide, 1 x Bageecha Pizza",x raw masala lemon shikanji x malai gud pide x bageecha pizza
"1 x Bacon Pepperoni Melt, 1 x Chicken Pepperoni Pizza",x bacon pepperoni melt x chicken pepperoni pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x All About Chicken Pizza",x murgh amritsari seekh pizza x chicken pizza
"1 x Mutton Seekh Pide, 1 x Peri Peri Chicken Melt",x mutton seekh pide x peri peri chicken melt
"1 x Makhani Paneer Pizza, 1 x Mushroom Pizza",x makhani paneer pizza x mushroom pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x All About Chicken Pizza",x murgh amritsari seekh pizza x chicken pizza
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Angara Tender, 1 x Fried Chicken Beast AAC Burger",x bone smoky bbq grilled chicken x fried chicken angara tender x fried chicken beast aac burger
1 x Animal Fries,x animal fry
"1 x Fried Chicken Beast AAC Burger, 1 x Animal Fries",x fried chicken beast aac burger x animal fry
"1 x Grilled Chicken Angara Boneless Breast, 1 x Grilled Chicken Peri Peri Boneless Breast",x grilled chicken angara boneless breast x grilled chicken peri peri boneless breast
"2 x Garlic Aioli, 1 x Bone in Smoky Bbq Grilled Chicken",x garlic aioli x bone smoky bbq grilled chicken
"1 x Herbed Potato, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x herbed potato x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender, 1 x AAC Saucy Fries, 1 x Grilled Chicken Jamaican Tender",x animal fry x fried chicken peri peri tender x aac saucy fry x grilled chicken jamaican tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Classic Tender",x animal fry x fried chicken classic tender
1 x Animal Fries,x animal fry
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Beast AAC Burger, 1 x AAC Grilled Chicken Burger",x fried chicken classic tender x fried chicken classic tender x fried chicken beast aac burger x aac grilled chicken burger
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Tipsy Tiger Fresh Lime Soda,x tipsy tiger fresh lime soda
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone smoky bbq grilled chicken x bone smoky bbq grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken peri peri tender x grilled chicken jamaican tender x grilled chicken smoky bbq tender x bone jamaican grilled chicken
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone kabuli grilled chicken x bone angara grilled chicken
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Grilled Chicken Jamaican Tender",x animal fry x grilled chicken jamaican tender
"1 x Peri Peri Crisper Fries, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Jamaican Tangdi",x peri peri crisper fry x grilled chicken ghostbuster tangdi x grilled chicken jamaican tangdi
"1 x Fried Chicken Beast AAC Burger, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Classic Tender",x fried chicken beast aac burger x bone smoky bbq grilled chicken x fried chicken classic tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken angara tender x grilled chicken peri peri tender
"1 x Fried Chicken Beast AAC Burger, 1 x AAC Grilled Chicken Burger, 1 x Bone in Jamaican Grilled Chicken",x fried chicken beast aac burger x aac grilled chicken burger x bone jamaican grilled chicken
"1 x Grilled Chicken Angara Boneless Breast, 1 x Animal Fries",x grilled chicken angara boneless breast x animal fry
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x GhostBuster Sauce, 1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x ghostbuster sauce x bone jamaican grilled chicken x grilled chicken peri peri tender
"1 x AAC Saucy Fries, 1 x Onion Rings, 1 x Animal Fries",x aac saucy fry x onion ring x animal fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Animal Fries",x grilled chicken jamaican tangdi x animal fry
"1 x Grilled Chicken Jamaican Tangdi, 1 x Kabuli Grilled Paneer (8 pcs), 1 x Grilled Chicken Jamaican Tangdi",x grilled chicken jamaican tangdi x kabuli grilled paneer pc x grilled chicken jamaican tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
"1 x Grilled Chicken Angara Tangdi, 1 x Grilled Chicken Jamaican Tender",x grilled chicken angara tangdi x grilled chicken jamaican tender
"1 x Animal Fries, 1 x Angara Rice",x animal fry x angara rice
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Kabuli Tender",x bone jamaican grilled chicken x fried chicken kabuli tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Beast AAC Burger",x animal fry x fried chicken beast aac burger
1 x Angara Boneless Grilled Chicken Breast,x angara boneless grilled chicken breast
1 x Coleslaw,x coleslaw
"1 x Desi Masala Fries, 1 x Fried Chicken Boneless Bites - 6pcs, 1 x Mint Mayonnaise, 1 x Fried Chicken Boneless Bites - 6pcs",x desi masala fry x fried chicken boneless bite x mint mayonnaise x fried chicken boneless bite
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone kabuli grilled chicken x bone smoky bbq grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
2 x Animal Fries,x animal fry
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Classic Tender",x fried chicken angara tender x fried chicken classic tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x grilled chicken peri peri tender x bone smoky bbq grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grilled chicken x bone peri peri grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Beast AAC Burger, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x animal fry x fried chicken beast aac burger x bone jamaican grilled chicken x bone kabuli grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x AAC Grilled Chicken Burger",x fried chicken peri peri tender x aac grilled chicken burger
"1 x AAC Grilled Chicken Burger, 1 x Fried Chicken Kabuli Tender",x aac grilled chicken burger x fried chicken kabuli tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x bone kabuli grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Grilled Chicken Burger",x bone smoky bbq grilled chicken x aac grilled chicken burger
2 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Beast AAC Burger, 1 x Fried Chicken Angara Tender",x fried chicken beast aac burger x fried chicken angara tender
1 x Animal Fries,x animal fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Angara Tender",x animal fry x fried chicken angara tender
"1 x Animal Fries, 1 x AAC Grilled Chicken Burger",x animal fry x aac grilled chicken burger
2 x AAC Saucy Fries,x aac saucy fry
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"2 x Grilled Chicken Angara Tender, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x grilled chicken angara tender x bone angara grilled chicken x bone kabuli grilled chicken
"1 x Fried Chicken Beast AAC Burger, 1 x Bone in Peri Peri Grilled Chicken, 1 x Animal Fries, 1 x Grilled Chicken Tangdi Jamaican + Salted Krispers",x fried chicken beast aac burger x bone peri peri grilled chicken x animal fry x grilled chicken tangdi jamaican salted krispers
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone smoky bbq grilled chicken x grilled chicken peri peri tender
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Beast AAC Burger",x fried chicken classic tender x fried chicken beast aac burger
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken angara tender x fried chicken peri peri tender
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Salted Fries, 1 x Fried Chicken Peri Peri Tender",x salted fry x fried chicken peri peri tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone kabuli grilled chicken x bone smoky bbq grilled chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken peri peri tender x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"2 x Herbed Potato, 6 x Grilled Chicken Jamaican Boneless Breast, 1 x Kabuli Grilled Paneer (8 pcs)",x herbed potato x grilled chicken jamaican boneless breast x kabuli grilled paneer pc
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Fried Chicken Beast AAC Burger, 1 x Fried Chicken Kabuli Tender",x fried chicken beast aac burger x fried chicken kabuli tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice",x grilled chicken jamaican tender x bone jamaican grilled chicken quarter angara rice
1 x Grilled Chicken Jamaican Boneless Breast,x grilled chicken jamaican boneless breast
1 x AAC Saucy Fries,x aac saucy fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Grilled Chicken Smoky Bbq Boneless Breast,x grilled chicken smoky bbq boneless breast
"1 x Bone in Angara Grilled Chicken, 1 x Tipsy Tiger Ginger Ale, 1 x Fried Chicken Ghostbuster Tender",x bone angara grilled chicken x tipsy tiger ginger ale x fried chicken ghostbuster tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"2 x Garlic Aioli, 1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Angara Tender, 1 x Peri Peri Fries",x garlic aioli x grilled chicken angara tender x fried chicken angara tender x peri peri fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Tipsy Tiger Fresh Lime Soda, 1 x Animal Fries",x tipsy tiger fresh lime soda x animal fry
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Grilled Chicken Angara Tangdi,x grilled chicken angara tangdi
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Grilled Chicken Jamaican Boneless Breast, 1 x Grilled Chicken Jamaican Tangdi",x grilled chicken jamaican boneless breast x grilled chicken jamaican tangdi
"1 x Grilled Chicken Peri Peri Tender, 1 x AAC Saucy Fries",x grilled chicken peri peri tender x aac saucy fry
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Smoky BBQ Tender",x fried chicken classic tender x grilled chicken smoky bbq tender
